product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_name,review_title,product_link
"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",₹416,₹599,31%,4.2,"30,023","Enables easy installation of audio components to your audio or home theater system|Digital optical cable constructed with durable black PVC outer layer and corrosion-resistant gold-plated connectors for optimal signal transfer|Precision-polished optical connectors allow maximum signal transfer accuracy. Specially optimized optical fiber for higher fidelity|Compatible with S/PDIF, ADAT's, Dolby Digital, & DTS","Mahender Singh,Vinay,Supratim Banerjee,Vinod Bhattu,Amitabha,RISHAV RAJ,khushal027,Shubham Gupta","Value for Money,A good upgrade from stock cable.,GOOD CABLE,Value for the money,Great buy,Overall good,Awesome experience,Worked as expected",https://www.amazon.in/BlueRigger-Digital-Optical-Audio-Toslink/dp/B005LJQMCK/ref=sr_1_167?qid=1672909131&s=electronics&sr=1-167
"Duracell Type-C To Micro 1.2M braided Sync & Charge Cable, USB C to Micro Fast Charge Compatible for fast data transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹368,₹699,47%,4.2,387,"1.2M Tangle Free durable tough braiding sync & charge cable|Supports Quick Charge 2.0 and 3.0, with max output up to 3A|Ensure fast and stable data transmission up to 480 Mbps|Up to 10,000+ bend and 10,000+ plugging and unplugging test ensure this cable a longer lifespan|Compatible Designed to work flawlessly with all Micro USB Or Type C devices of Mi, Xiaomi, Realme, IQOO, POCO, Android, Samsung, VIVO, OPPO, Oneplus, Redmi, tecno & Google Pixel etc.|2 Years Warranty","Sreejith ks,chetan w.,ASR,vajreshwari,Raghavandra,Kunal Singh,sarath,Sujit b.","Superb,Reviewing after 3 months of use,Good braided cable.,The best cable. Very useful.,0k,Does The Job,superb  Product !!!,It's fast charging cable.",https://www.amazon.in/DURACELL-Type-C-Micro-braided-Charge/dp/B09C6H53KH/ref=sr_1_168?qid=1672909131&s=electronics&sr=1-168
VU 138 cm (55 inches) Premium Series 4K Ultra HD Smart IPS LED TV 55UT (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹29,990","₹65,000",54%,4.1,211,"Resolution: 4K (3840x2160) | Refresh Rate: 60 hertz | 178 Degree wide viewing angle|Connectivity: 3 HDMI ports to connect set top box, Blue Ray players | 2 USB ports to connect hard drives and other USB devices | 2.4/5GHz WiFi | HDMI CEC & ARC | 2-Way Bluetooth 5.0|Sound : 40-Watt Speakers | 2 Master + 2 Tweeter Speakers | Dolby Audio Sound Enhancement | Ultra Surround | Clear Voice III|Smart TV Features : webOS | Content Store | Magic Remote Control | ThinQ AI Voice Assistant | Alexa Built-in | Wireless Casting | Licensed Apps-Netflix, Prime Video Hotkeys on Remote|Display : IPS Panel | 4K HDR | 400nits Brightness | HDR10 | HLG | Auto Low Latency Mode (ALLM) | Game Mode | TruMotion | MEMC | Cricket Mode | Panoramic Viewing|Warranty Information: 1 year warranty provided by the manufacturer from date of purchase|Installation/Wall mounting/Demo will be arranged by AHS Team. For any other information, please contact VU support (Please visit brand website for tollfree numbers) and provide product's model name as well as seller's details mentioned on the invoice|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description","CH Venkatesh,nihar mendon,IP Trading solutions,Amazon Customer,Venkatesh,MAYANK KOHLI,Vinita,Akhil","Valume for money,Can’t turn off HDR in webOS while watching android apps,Webos, Magic remote & LG like UI at 19k,Satisfied,Good,Value for money,Exchange Offer AND Extended Warranty of 2 Yrsnot been Given,Overall a good product and Value for money",https://www.amazon.in/VU-inches-Premium-Ultra-Smart/dp/B0BB3CBFBM/ref=sr_1_169?qid=1672909133&s=electronics&sr=1-169
"Zoul USB Type C Fast Charging 3A Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31s M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (1M, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹339,"₹1,099",69%,4.3,974,"{3A/QC 3.0 FAST CHARGING and DATA SYNC} : This USB C cable supports QC 3.0 Fast Charging and Data Syncing, max current 3.0A and transfer speed up to 480Mbps. Built-in 56K pull-up resistor and strong metal connections provides reliable conductivity and stability.|{Nylon Braided Tangle-free Design} : Premium Nylon Braided Type C Cable/Lead adds additional durability and tangle free with a tested lifespan of 10000+ bending test.|{SAFE & RELIABLE} : High-purity copper wire features anti-oxidation and anti-rust, which will keep long-lasting fast charging performance. This Type c cable fast charging has safety certification, you have no need to worry about this cable quality at all.|{What You Get} : Premium Nylon Braided Cable 3FT(1M) and our friendly customer service.","Pratyush Pahuja,Thiyagarajan,yeses,Amazon Customer,Ajinkya,The Scarred Man,KULDEEP GUPTA,Abhishek Thapar","Great Cable, Charging Speeds Could Be Better,Good,A good cable.,One of the best type c cable,Works as intended.,A good buy. The extra length helps a lot.,Good,Ok",https://www.amazon.in/Charging-Braided-Charger-Samsung-Galaxy/dp/B08QSDKFGQ/ref=sr_1_170?qid=1672909133&s=electronics&sr=1-170
Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹15,490","₹20,900",26%,4.3,"16,299","Resolution: HD Ready (1366x768) | Refresh Rate: 60 hertz|Connectivity: 2 HDMI ports to connect set top box, Blu Ray players, gaming console | 1 USB ports to connect hard drives and other USB devices|Sound : 20 Watts Output | Dolby Digital Plus|Smart TV Features : Voice Assistants | SmartThings App | Personal Computer | Home Cloud | Live Cast | Screen Share | Music System |Alexa Built-in: Voice control your TV and your day. Just ask Alexa to search for movies, play music, control smart home devices, get sports updates and more|Display : LED Panel | Mega Contrast | PurColor | HD Picture Quality | Slim & Stylish Design|Warranty Information: 1 year comprehensive warranty plus additional 1 years on panel by brand from date of invoice|Installation: TV Table stand is not included in the box with this model. customer may ask for Table Top Stand or Wall Mount which will be provided to the customer at the time of installation, please directly call Samsung support on [1800407267864 / 180057267864] and provide product's model name as well as seller's details mentioned on the invoice|Easy returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description provided","Rahman Ali,MARIYA DASS,Md Aftab,roshan s.,Mohan,Devendu Sawant,Shek hussain,Prathap Pathaneni","Good,Sound is very low another brand comparing in better,Service provider not meet my home refuse, tv i am not using bad service,Good product,Ok super,Floor stand does not come with it ...,Good,A budget friendly TV with a clumsy UI and Remote",https://www.amazon.in/Samsung-inches-Wondertainment-Ready-UA32TE40AAKBXL/dp/B08PV1X771/ref=sr_1_171?qid=1672909133&s=electronics&sr=1-171
MI Xiaomi USB Type C HYperCharge Cable 6A 100cm Sturdy and Durable Black Supports 120W HyperCharging,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹499,"₹1,299",62%,4.3,"30,411",Supports 120W Fast Charging|High Quality Design,"Pavan A H,Jayesh bagad,Shridhar,rajendran,karuppu k,Akshay wani,Abbimaniu Singh,VISHAL H BADSHE","Worth for money - suitable for Android auto,Good Product,Length,Nice,Original,Very good quay Cable support fast charging.,Original MI cable for charging upto 33 watt,I am veri happy with this product as it provide turbo charging.",https://www.amazon.in/Xiaomi-HyperCharge-Cable-100cm-Type-C/dp/B07YTNKVJQ/ref=sr_1_172?qid=1672909133&s=electronics&sr=1-172
GENERIC Ultra-Mini Bluetooth CSR 4.0 USB Dongle Adapter for Windows Computer ( Black:Golden),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,₹249,₹399,38%,3.4,"4,642","Item design may vary as per stock availability.|Compatibility -Windows 10, Windows 8, Windows 7, XP, Vista ,2003, 2000,Me, Bluetooth-enabled devices, like iPhone, iPad, iPod,Samsung Galaxy,note ,smart phones, tablets, keyboards,headsets & more|CSR 4.0 Dongle -Support Bluetooth voice and date transmission|Country of Origin: China","Akmathambil | XplCreR,Rohit,Satish Kumar Singh,Chelvam,narendra,Huzaifa Bharmal,Mohammed irfan,Ritesh Ray","Install CSR Driver For Advanced Features + Stability (More Than Just Bluetooth),Thik h,Driver installation CD was missing from the package.,Not compatible for office usage,Spr,THIS IS MY 2ND ORDER,Waste of time & Money , Not recommend,Wrong product delivered.",https://www.amazon.in/GENERIC-Ultra-Mini-Bluetooth-Dongle-Adapter/dp/B0117H7GZ6/ref=sr_1_173_mod_primary_new?qid=1672909133&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-173
7SEVEN® Compatible for Tata Sky Remote Original Set Top HD Box and Suitable for SD Tata Play setup Box Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹799,50%,4.3,12,"[Compatible] All model of dth SD / HD / HD+ Plus / 4K DTH Set Top Box.|[Plug & Play] This is a Universal dth Remote - Also Works with All LED LCD TV (Pairing Required in some models)|[Important] This remote doesn't have feature of recording key and respectively won't support for recording function|[Suggestion] For best performance, please insert new batteries before using (Batteries Not Included)|[Caution] This is an Imported Generic Product & Not Original Remote By TataSky.",anurag jain,do not buy,https://www.amazon.in/7SEVEN%C2%AE-Compatible-Control-Replacement-Original/dp/B09XJ1LM7R/ref=sr_1_174?qid=1672909133&s=electronics&sr=1-174
"Belkin Apple Certified Lightning To Type C Cable, Fast Charging For Iphone, Ipad, Air Pods, 3.3 Feet (1 Meters)    White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"₹1,499","₹1,999",25%,4.4,"1,951","Lightning Speed Lightning Cable Connect Your Iphone Or Ipad To A Usb-C Fast Charger For A Quick Power Boost Or Sync Photos And Videos With Your Computer. With This Convenient 4-Foot Cable You Can Leverage The Latest Fast Charging Standard, Usb Power Delivery|Tested To Withstand 10,000+ Bends For Ultimate Longevity|Supports Usb Power Delivery Fast Charging Take Advantage Of The Fast Charge Feature On Your Iphone 8 Or Later??Charging Up To 50 Percent In 30 Minutes* When Paired With An 18W Or Higher Usb-C Power Adapter|Lightning To Usb-C Cable For Iphone Fast Charge Your Iphone 8 Or Later From 0-50% In 30 Minutes (When Paired With 18W Usb-Pd Charger) Fast Charge Compatible Iphone Models: Iphone 11, 11 Pro, 11 Pro Max, Xs, Xs Max, Xr, X, 8, 8 Plus Tested To Withstand 8,000+ Bends|The Belkin Difference: Pioneer In Technology And Innovation For Over 35 Years|Mfi Certified ??Made For Iphone"" And ??Made For Ipad"" Mean That An Electronic Accessory Has Been Designed To Connect Specifically To Iphone Or Ipad And Has Been Certified By The Developer To Meet Apple Performance Standards|Added Length Our 4-Foot Cable Is Longer Than The Standard 3-Foot Usb-C Cable With Lightning Connector, So You Can Connect And Charge Your Iphone In The Car, On The Nightstand, And More","Ganesh,P P.,anas,Dr G S Santosh,Amit Benwal,jaswant sai,Vinod Gahlot,Piyush Handa","Perfect product,Better than the original cable,Better then original,Good,The Very Best,Works absolutely fine,Charging is very slow.,Best Product",https://www.amazon.in/Belkin-Lightning-iPhone-Charging-MFi-Certified/dp/B084N133Y7/ref=sr_1_175?qid=1672909133&s=electronics&sr=1-175
"EGate i9 Pro-Max 1080p Native Full HD Projector 4k Support | 3600 L (330 ANSI ) | 150"" (381 cm) Large Screen | VGA, AV, HDMI, SD Card, USB, Audio Out | (E03i31 / E04i32) Black","Electronics|HomeTheater,TV&Video|Projectors","₹9,490","₹15,990",41%,3.9,"10,480","Display :BIGGER & BETTER - LED, HD Ready (1080p) | (1280 x 720) Native Resolution | 1500 : 1 High Contrast Ratio | 3.81 m (150 inch) Large Screen Display|Lumens: BRIGHTER - 3300 Lumen | 330 ANSI Lumen | LED- Life Long Lamp + 30000 Hours Life |16:9 Aspect Ratio. Power Consumption : 50 - 150 W|Connectivity : 2 x HDMI | USB | VGA | AV | SD Card Slot | Audio Out | Sound : In-Built Speaker (Stereo) | 3W Speaker|Connect - TV (Set Top Box), Fire TV Stick, PC/ Laptop, DVD, Play Station etc.|Warranty Information : 1 year warranty provided by the manufacturer from date of purchase","Amazon Customer,Manasi Kulkarni,dwaipayan sarkar,Balaji,Amazon Customer,sanjib behera,vanniavel,Pradeep","VFM and kudos to egate to launch a fhd projector at the lowest price and it is not bad at all,Good Bluetooth Projector,What more can you ask for at this price!!?,Good for winter nights.,Nice purchase,Value for money,WORTH EVERY PENNY SPENT...,Value for money",https://www.amazon.in/Support-Display-Projector-Connectivity-E03i31/dp/B088Z1YWBC/ref=sr_1_176?qid=1672909133&s=electronics&sr=1-176
"ZEBRONICS HAA2021 HDMI version 2.1 cable with 8K @ 60Hz, 4K @ 120Hz, eARC & CEC support, 3D compatible, 2 meters length, 48Gbps max and Gold-plated connectors","Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",₹637,"₹1,499",58%,4.1,24,"Superior quality HDMI (Male - Male) cable with 2-meter length and gold plated connectors for durable and rust-free usage|Supporting 8K video resolution with 60Hz refresh rate and 4K video resolution with 120Hz refresh rate.|Latest HDMI version 2.1 with 48Gbps data transfer rate support for the most efficient & lossless data transfer.|Suitable for various input devices such as Smart TV, Computers, Laptops, PlayStation, Gaming console, HD TV boxes, etc|Compatible with Soundbars, Speakers, Audio systems, etc., with the HDMI eARC & HDMI ARC connectivity. Suitable for all Zebronics soundbars with and without Dolby Audio / Dolby Atmos.|eARC - Enhanced Audio return channel support for the most Efficient data transfer with the connected Soundbars and Audio systems to your Smart TV. DOLBY ATMOS and DOLBY AUDIO support with lossless transmission.|CEC extension support for controlling other compatible HDMI devices connected to the source / master device.","Amazon Customer,Gowthami,Pradeep sp,RS,Dr akank,Bookcritics,K.Singh","good,Worth product,Good quality,Very good HDMI 2.1 cable,Best hdmi 2.1 cable 8k 60hz / 4k 120hz,Did not like the quality and when connected I see a red color picture,Value for money  must buy it for eArc",https://www.amazon.in/Zeb-HAA2021-HDMI-Meter-Cable/dp/B07VSG5SXZ/ref=sr_1_177?qid=1672909133&s=electronics&sr=1-177
7SEVEN® Compatible for Sony Bravia LCD LED UHD OLED QLED 4K Ultra HD TV remote control with YouTube and NETFLIX Hotkeys. Universal Replacement for Original Sony Smart Android tv Remote Control,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹399,₹899,56%,3.9,254,"1. Remote control suitable for sony tv LCD/ LED/ UHD TV smart controller with Youtube netflix button RMT-TX300E rmf-tx100e RMT-TX202P RMT-TX300P MT-TX300E RMT-TX300P compatible Remote for Sony TV KD-55X7000F KD-43X7000F KD-49X7000F KDL-43W660F KD-65X7000F KD-43X7000E KD-49X7000E KD-55X7000E KD-65X7000E KDL-40W660E KDL-49W660E|2. No programming required ! Just load new AAA batteries in and will works very well ! Please Match The Image With Your Existing Remote Before Placing the Order .All Products are checked by Testing machine Before Shipment. Imported Generic Product .Durable Quality, Rigid Body, and Efficient Performance increases Device life|3. Long Distance range, can be operated from any corner of the room. Ultra-wide angle . No exact pointing needed. Premium technology.|4. Durable Quality, Rigid Body, Efficient Performance increases Device life. Best Quality Plastic Body and Soft Rubber Keypad.|5. This is a manufacturer substitution. Part may differ in appearance but is a functional equivalent to Original Part .Imported Generic Product. Best Substitute for your Original remote.","T A Rajagopal,Anesh,Anoop,Amazon Customer,Vikas,Ajit kandiban,Bala Subramanian,KRISHNAA","Working good.,All functions are working,Few buttons were not properly functional,Its better then original even its light weight with softr buttons.,In this price range it's oky product,Good for the price. The buttons look good not hard like other remotes. It's a good to go product,Not user friendly remote no voice recognition option but it value for money,Good",https://www.amazon.in/7SEVEN-Control-YouTube-Netflix-Compatible/dp/B08RWCZ6SY/ref=sr_1_178?qid=1672909133&s=electronics&sr=1-178
AmazonBasics Digital Optical Coax to Analog RCA Audio Converter Adapter with Fiber Cable,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables","₹1,089","₹1,600",32%,4,"3,565","Audio converter box that connects coaxial or toslink digital devices to analog RCA sources|Compatible with CD/DVD/Blu-ray players, computers, A/V receivers, digital TVs, and gaming devices, and more|Supports sampling rate at 32, 44.1, 48 and 96KHz; 24-bit S/PDIF incoming bit stream on left and right channels|Provides crystal clear electromagnetic noise-free transmission|Small, compact design that doesn’t take up too much space behind your entertainment center or desk; simple to install|Includes quality fiber cable and external micro USB power supply","Amazon Customer,Sarma P,Ravindra Deodatta Dhond,Abhineet Chandra,Abir Choudhury,Shinto Mon,Amazon Customer,Suvam seal","Satisfactory one,Optical cable loose contact,Digital to Analogue converter,Its a good Product to connect Home Theater Music System without optical audio port.,Very good product.,Good,High quality amezon basic top notch go for best sound quality,Good",https://www.amazon.in/AmazonBasics-Digital-Optical-Converter-Adapter/dp/B07KSB1MLX/ref=sr_1_179?qid=1672909133&s=electronics&sr=1-179
"Wayona Type C Cable Nylon Braided USB C QC 3.0 Fast Charging Short Power Bank Cable for Samsung Galaxy S10e/S10+/S10/S9/S9+/Note 9/S8/Note 8, LG G7 G5 G6, Moto G6 G7 (0.25M, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹339,₹999,66%,4.3,"6,255","✅【Fast Charge & Data Sync】: Fast charge& data transfer USB A to USB C, conforming to the USB Type C Specification version 1.1, 56kilohm, which ensure a safe charging at 4.8A Maximum. Charging and syncing 2 in 1, data transfer speed up to 480Mbps.|✅【Extreme Durability】: Over 10000 bending tests,This type c cable is far more durable than the same price, Premium nylon braided type c cable adds additional durability and tangle free.|✅【Short and Convenient Design】: The light and space-saving 1ft USB Type C cable, it’s perfect for your power bank, the office desk, always keep your space tidy, super easy to carry and convenient for traveling, making your life more convenient.|✅【Wide Compatibility】: This USB A to USB C Charger Cable compatible with Samsung Galaxy S10e S10 S10 plus S9 S9 plus S8 S8 plus, Note 10 Note 10 plus Note9 note8, a40 a50 a70 a80 A3 A5 2017, Sony Xperia XZ3 XZ2 Premium XA2 XA1,XZ1, Moto G6 G6 plus G7 G7 power G7 play G7 plus Z Z2 Z3 X4, LG G8 G7 G6 G5 V40 V35 V30 V20, Googel Pixel 2 xl, HTC 10 U11.","SMG,Rohit,roy,Sukumar Ballavolu,Jeeva,Sirajdurvesh,Adhikundhan,Manjit Kaur","Good pick for Galaxy Note 9,Durable and quality product,Best Cable for Android Auto,The cable I will always carry when I pack my stuff for a ride.,Good charging capacity and data transfers,I bought it for my bike,Excellent,👍",https://www.amazon.in/Wayona-Braided-Charging-Samsung-Galaxy/dp/B081FG1QYX/ref=sr_1_180?qid=1672909133&s=electronics&sr=1-180
"Pinnaclz Original Combo of 2 USB Type C Fast Charging Cable, USB C Data Cable for Charging and Data Transfer Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹499,70%,4,"7,732","[SYNC & CHARGE] : Ideal for charging and powering USB Type-C enabled devices, as well as syncing data, photos and music.|[REVERSIBLE] : Easily insert the Type C connector in a right way every time.|[SYNC DATA] : Transfer data at very high speeds.|[WARRANTY] : 6 Months hassle free warranty from the manufacturer.","Vijayan C V,Sanjay P.,keshav,Dharemesh K.,Amazon Customer,Rajesh,Sagar Yadav,Vaibhav","Very good product and met my need.  Thanks,Decent value,Nice quality… trustable…,Just well in this price.,supports 2.4 amps fast charging,Nice,Nice.,Value for money",https://www.amazon.in/Pinnaclz-Original-Type-Charging-Transfer/dp/B08R69WBN7/ref=sr_1_182?qid=1672909133&s=electronics&sr=1-182
Ambrane BCL-15 Lightning Cable for Smartphone (1.5m Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹149,₹399,63%,3.9,57,"Upto 15W Fast Charging - Supports upto 15W fast charging and 480 Mbps data transfer speed.|Universal Compatibility - It is compatible with all lightning port enabled devices.|Unbreakable - Made of special braided outer with rugged interior bindings, it is an ultra-durable cable that won’t be affected by daily rough usage.|Ideal Length - It has an ideal length of 1.5 meters which is super convenient to use.|Made in India - This product is made in India at the Ambrane’s manufacturing facility in Haryana.","Nik Xavier,Muhammed Ali Faizal,Debanjan,Satyam,Sanchit,Niraj K,shankar,Mohana","Quality is good,Very sturdy,Very Good Item for the price offered,This lightening cable support data transfer as well got this at ₹99,Lightning cable,worst product.,Great,It's very good product I really happy it's quality was amazing thankyou Amazon",https://www.amazon.in/Ambrane-BCL-15-Lightning-Cable-Smartphone/dp/B0B3RHX6B6/ref=sr_1_183?qid=1672909133&s=electronics&sr=1-183
"Belkin USB C to USB-C Fast Charging Type C Cable, 60W PD, 3.3 feet (1 meter) for Laptop, Personal Computer, Tablet, Smartphone - Black, USB-IF Certified",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹599,₹849,29%,4.5,577,"2-Year Manufacturing Warranty|Usb-If Certified So You Can Count On A Great Experience On Any Device|Use Them At Home, In Your Car, Or Anywhere You Need To Sync Music, Photos, Or Data And Charge Your Devices|Tested To Withstand 8, 000+ Bends, ** These Usb-C Fast Charge Cables Are Built With More Strength And Flexibility To Use Over And Over Again. This Makes Them Ideal For Easy Placement In Your Bag To Take On-The-Go|Get A Fast Charge, Up To 50% In Around 36 Minutes* With Sturdy Usb-C To Usb-C Cables","Khan, BA,Vaibhav,ANIL KUMAR AR,aditya,Renga C,Amazon Customer,K J Sudarshan,A.M.","Good only for Charging,Well it's a great cable you can trust on,Another quality product from Belkin & Amazon,60W support not clear,Become a belkin fan,Happy with performance,The only competitor to original cables,good",https://www.amazon.in/Belkin-USB-C-Charging-USB-IF-Certified/dp/B084N18QZY/ref=sr_1_184?qid=1672909133&s=electronics&sr=1-184
LOHAYA Television Remote Compatible with Samsung Smart LED/LCD/HD TV Remote Control [ Compatible for All Samsung Tv Remote Control ],"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹299,"₹1,199",75%,3.9,"1,193",Compatible Device For Samsung Smart LED/LCD/HD TV Remote Control|Compatible Models :- bn59-01301a bn59-00960a bn59-01175m aa59-00772a bn59-01259e bn59-01266abn59-01303a aa59 00403e aa59-00741a aa5900602a nu7100 m5570 bn59-01259b bn59-01198w bn59 aa59-00802a bn59-01253a bn59-01199n bn59-01274a aa59-00607a|Remotes are checked by Testing Machine Before Shipment|Imported Generic Product Not by Samsung|Please Match the Image with Your Existing Remote Before Placing the Order,"Pinky,girish,Sajin Thomas,Amazon Customer,Kindle Customer,Sanath Menon,Pranabesh Ganguli,brijendra","Worthy product,Very good generic remote for Samsung LED/LCD TV.,Working👍,Overall good,Good built quality,Durability is my concern,It is perfect for Samsung smart tv,good",https://www.amazon.in/LOHAYA-Television-Compatible-Samsung-Control/dp/B081NHWT6Z/ref=sr_1_185?qid=1672909133&s=electronics&sr=1-185
"Wayona Nylon Braided Lightning USB Data Sync & 3A Charging Cable for iPhones, iPad Air, iPad Mini, iPod Nano and iPod Touch (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,"₹1,299",69%,4.2,"13,120","[High Compatibility] : iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch|[Fast Charge&Data Sync ] : It can charge and sync simultaneously at a rapid speed, Compatible with any charging adaptor, multi-port charging station or power bank.|[Durability] : Durable nylon braided design with premium aluminum housing and toughened nylon fiber wound tightly around the cord lending it superior durability and adding a bit to its flexibility.|[High Security Level ] : It is designed to fully protect your device from damaging excessive current.Copper core thick+Multilayer shielding, Anti-interference, Protective circuit equipment.|[WARRANTY] 12-months warranty and friendly customer services, ensures the long-time enjoyment of your purchase. If you meet any question or problem, please don't hesitate to contact us.","Pratik,Amazon Customer,Abhishek,Derrick Angelsz,Prakhar gupta,Harshal Mehta,Bhanu Vardhan,Rajesh","Good product,Is worth the money you are paying for it,Good quality cable,Go for it!,Nice product☑️,Good buy,You can trust Wayona,Quality product  , Life of product is good  .",https://www.amazon.in/Wayona-Nylon-Braided-Charging-iPhones/dp/B07JPJJZ2H/ref=sr_1_186?qid=1672909133&s=electronics&sr=1-186
Electvision Remote Control Compatible with Kodak/Thomson Smart led tv (Without Voice) Before Placing Order for verification Contact Our coustmer Care 7738090464,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",₹339,"₹1,999",83%,4,343,*Please match your previous remote before placing order. or for verification of remote contact our coustmer care 7738090464|. * Its Electvision compatible remote for kodak LED.,"MANIK SK,Niranjan,renpuppypaws,Ayushi sharma,Kat,Krishna Mohan Dubey,Gautam,J.S.","really good producers,Thompson smart tv remote control,Best for Kodak tv,I love it,Not feather touch,Working fine,Best without voice control,Value for Money",https://www.amazon.in/Electvision-Compatible-verification-coustmer-7738090464/dp/B09JKNF147/ref=sr_1_187?qid=1672909133&s=electronics&sr=1-187
Acer 80 cm (32 inches) S Series HD Ready Android Smart LED TV AR32AR2841HDSB (Black),"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions","₹12,499","₹22,990",46%,4.3,"1,611","Resolution : HD Ready (1366 x 768) | Refresh Rate : 60 Hertz | 178 Degree wide viewing angle|Connectivity: 2 HDMI ports to connect latest gaming consoles, set top box, Blu-ray Players | 2 USB ports to connect hard drives and other USB devices | Bluetooth 5.0 | SPDIF | Ethernet | Headphone out|Sound: 40Watts Soundbar | Dolby Audio|Smart TV Features: Certified Android TV 11 | Google Assistant | Chromecast built-in | Voice controlled Smart Remote | Hotkeys for Quick Access - Netflix, Prime Video, YouTube, Disney+Hotstar | 5 Picture Mode | 1.5GB RAM | 8GB Storage | 64bit Quad Core Processor|Display: High Definition | HDR10+ | HLG | Intelligent Frame Stabilization Engine | Dynamic Signal Calibration | 16.7 Million Colours | WCG | Super Brightness | Micro Dimming | Blue Light Reduction | 178 Degree Wide Viewing Angle|Warranty Information: 1 years comprehensive warranty provided by the manufacturer from date of purchase|Installation: Installation/Wall mounting/demo will be arranged by AHS Team. For any other information, please contact Amazon customer support.|Easy Returns: This product is eligible for replacement within 10 days of delivery in case of any product defects, damage or features not matching the description","Moon Tej,Aditya sikarwar,P kanaka raju,Ajay,Pramod K.,Lalpi Sektak,RAM JI GUPTA,Siva","Tv working good.,Value of money,Acer 32  Sound bar tv review,product is good but one lie by the seller (i.e. 16GB space),Cromecast not working in this smart TV.,Awesome clarity and sound,Awesome sound system like a sound bar picture quality is impressive and connected good,Budget friendly Smart TV",https://www.amazon.in/Acer-inches-Ready-Android-AR32AR2841HDSB/dp/B0B9959XF3/ref=sr_1_188?qid=1672909133&s=electronics&sr=1-188
"realme 10W Fast Charging Micro-USB Cable (Braided, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹249,₹399,38%,4,"6,558",realme's 10W Micro-USB Cable is compatible with both smartphones and tablets (running Android & having Micro-USB Input Port)|Ensures up to 2A fast charging and high data transmission rate|The premium Nylon braids makes it robust and sturdy against unwanted bends and damages|Cable Length - 1 meter|realme's 10W Micro-USB Cable is compatible with both smartphones and tablets (running Android & having Micro-USB Input Port)|Ensures up to 2A fast charging and high data transmission rate|The premium Nylon braids makes it robust and sturdy against unwanted bends and damages|Cable Length - 1 meter,"Ajinkya M K,iggi,Sivajit barman,Sarath RadhaKrishnan,Handsome,sahadev,Ravi Yadav,Rahul Sharma","Great to use, serves the purpose,Good Quality,Good,Good one,It's okay,Good original cable,Good quality,V good product",https://www.amazon.in/realme-Charging-Micro-USB-Cable-Braided/dp/B09PNR6F8Q/ref=sr_1_189?qid=1672909133&s=electronics&sr=1-189
